x,y,z
0,2,33
0,2,35
0,2,35
0,2,35
0,2,35
1,2,38
1,2,38
1,2,38
1,2,38
1,2,41
2,3,41
2,3,41
2,3,41
2,3,41
2,3,43
2,3,43
2,3,43
2,3,43
2,3,45
2,3,45
2,3,45
2,3,45
2,4,48
2,4,48
2,4,48
2,4,48
3,4,49
3,4,49
3,4,49
3,4,49
4,4,50
4,4,50
4,4,50
4,4,50
4,4,51
4,4,51
4,4,51
4,4,51
4,4,52
4,4,52
4,4,52
4,4,52
4,4,52
4,4,52
4,4,52
4,4,52
5,3,52
5,3,52
5,3,52
5,3,52
5,3,51
5,3,51
5,3,51
5,3,51
5,2,51
5,2,51
5,2,51
5,2,51
6,1,52
6,1,52
6,1,52
6,1,52
5,1,52
5,1,52
5,1,52
5,1,52
5,0,52
5,0,52
5,0,52
5,0,52
4,0,52
4,0,52
4,0,52
4,0,52
4,0,51
4,0,51
4,0,51
4,0,51
4,0,51
4,0,51
4,0,51
4,0,51
4,0,50
4,0,50
4,0,50
4,0,50
4,0,50
4,0,50
4,0,50
4,0,50
4,0,50
4,1,50
4,1,50
4,1,50
4,1,50
4,0,48
4,0,48
4,0,48
4,0,48
5,0,47
5,0,47
5,0,47
5,0,47
5,0,45
5,0,45
5,0,45
5,0,45
5,1,44
5,1,44
5,1,44
5,1,44
5,1,43
5,1,43
5,1,43
5,1,43
5,1,43
5,1,43
5,1,43
5,1,43
5,1,42
5,1,42
5,1,42
5,1,42
4,1,41
4,1,41
4,1,41
4,1,41
3,2,38
3,2,38
3,2,38
